Short_Desc,MajorGroup,FdGp_Desc,GmWt_1,Vitamins,Value
"CHEESE,ROQUEFORT",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.586
"CHEESE,ROQUEFORT",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.734
"CHEESE,SWISS",Dairy and Egg,Dairy and Egg Products,132,Vit_A,845
"CHEESE,SWISS",Dairy and Egg,Dairy and Egg Products,132,Vit_C,0
"CHEESE,SWISS",Dairy and Egg,Dairy and Egg Products,132,Vit_E,0.5
"CHEESE,SWISS",Dairy and Egg,Dairy and Egg Products,132,Thiamin,0.022
"CHEESE,SWISS",Dairy and Egg,Dairy and Egg Products,132,Riboflavin,0.365
"CHEESE,SWISS",Dairy and Egg,Dairy and Egg Products,132,Niacin,0.092
"CHEESE,TILSIT",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,1045
"CHEESE,TILSIT",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE,TILSIT",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0.701
"CHEESE,TILSIT",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.061
"CHEESE,TILSIT",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.359
"CHEESE,TILSIT",Dairy and Egg,Dairy and Egg Products,28.35,Niacin,0.205
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Vit_A,1209.6
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Vit_C,0
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Vit_E,0.46
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Thiamin,0.027
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Riboflavin,0.353
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Niacin,0.069
"CHEESE,PAST PROCESS,PIMENTO",Dairy and Egg,Dairy and Egg Products,140,Vit_A,1262
"CHEESE,PAST PROCESS,PIMENTO",Dairy and Egg,Dairy and Egg Products,140,Vit_C,2.25
"CHEESE,PAST PROCESS,PIMENTO",Dairy and Egg,Dairy and Egg Products,140,Vit_E,0.46
"CHEESE,PAST PROCESS,PIMENTO",Dairy and Egg,Dairy and Egg Products,140,Thiamin,0.027
"CHEESE,PAST PROCESS,PIMENTO",Dairy and Egg,Dairy and Egg Products,140,Riboflavin,0.354
"CHEESE,PAST PROCESS,PIMENTO",Dairy and Egg,Dairy and Egg Products,140,Niacin,0.078
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Vit_A,808
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Vit_C,0
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Vit_E,0.675
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Thiamin,0.014
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Riboflavin,0.276
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",Dairy and Egg,Dairy and Egg Products,140,Niacin,0.038
"CHEESE FD,COLD PK,AMERICAN",Dairy and Egg,Dairy and Egg Products,28.35,Vit_A,705
"CHEESE FD,COLD PK,AMERICAN",Dairy and Egg,Dairy and Egg Products,28.35,Vit_C,0
"CHEESE FD,COLD PK,AMERICAN",Dairy and Egg,Dairy and Egg Products,28.35,Vit_E,0
"CHEESE FD,COLD PK,AMERICAN",Dairy and Egg,Dairy and Egg Products,28.35,Thiamin,0.03
"CHEESE FD,COLD PK,AMERICAN",Dairy and Egg,Dairy and Egg Products,28.35,Riboflavin,0.446
